Gene_acc,Gene_id,log_FDR,srank,desc2,BSF_rank2,Log_Intensity
1178,Tb927.4.2180,-0.002239518,1.226779,"60S ribosomal protein L35a, putative",528,10.0156112
1179,Tb927.2.4890,-0.002239518,1.224704,mitochondrial ribosomal protein l11,4573.5,6.824197451
1180,Tb927.9.15170,-0.002239518,1.224141,"60S ribosomal protein L5, putative",264.5,9.537428684
1182,Tb927.8.1340,-0.002239518,1.222832,"60S ribosomal protein L7a, putative",220.5,10.20251556
1183,Tb927.6.720,-0.002239518,1.221541,"40S ribosomal protein L14, putative",354.5,10.0374265
1185,Tb927.8.1110,-0.002239518,1.217428,"40S ribosomal protein S9, putative",277.5,10.16124818
1187,Tb927.4.410,-0.002239518,1.216638,CAF 40,1220,8.696496179
1188,Tb927.9.9550,-0.002239518,1.215348,"conserved protein, unknown function",643,8.642484305
1189,Tb927.9.10890,-0.002239518,1.214333,"Regulatory subunit of type II PKA R-subunit, putative",1401,7.236738744
1191,Tb927.3.1350,-0.002239518,1.20939,"hypothetical protein, conserved",2616,8.680725206
1193,Tb927.2.830,-0.002239518,1.204763,"retrotransposon hot spot protein 1 (RHS1), interrupted",2726.5,8.690700986
1194,Tb927.11.11830,-0.002239518,1.204758,"40S ribosomal protein S17, putative",306.5,10.30198439
1195,Tb927.2.5150,-0.002239518,1.204586,"TPR-repeat protein, putative",1490,7.268788516
1196,Tb927.11.6610,-0.002239518,1.20366,"hypothetical protein, conserved",1062,7.121592669
1198,Tb927.10.14360,-0.002239518,1.202521,U2 small nuclear ribonucleoprotein 40K,3238,7.638259569
1199,Tb927.10.270,-0.002239518,1.201257,"60S ribosomal protein L32, putative",615.5,9.812498909
1200,Tb927.10.2580,-0.002239518,1.201005,"Nucleolar protein 12 (25kDa), putative",6506,7.43498384
1201,Tb927.6.4980,-0.002239518,1.199248,40S ribosomal protein S14,334.5,10.0623187
1202,Tb927.9.12830,-0.002239518,1.196254,"hypothetical protein, conserved",2022,6.179810223
1208,Tb927.3.5310,-0.002239518,1.192824,paraflagellar rod protein,1292,9.466526573
1209,Tb927.11.460,-0.002239518,1.191283,predicted WD40 repeat protein,3234,7.517974026
1210,Tb11.v5.0501,-0.002239518,1.190956,"40S ribosomal protein S3A, putative",186.5,10.60354491
1214,Tb927.9.2760,-0.002239518,1.187926,"EB1-like C-terminal motif containing protein, putative",1785,8.15518416
1215,Tb927.10.2720,-0.002239518,1.187831,"hypothetical protein, conserved",3184,7.203929937
1216,Tb927.3.5610,-0.002239518,1.187458,Mitochondrial ribosomal protein L3,4034,8.257942431
1218,Tb927.9.11100,-0.002239518,1.186482,cAMP-dependent protein kinase catalytic subunit 1,998,7.501894168
1219,Tb927.10.4040,-0.002239518,1.185442,3-keto-dihydrosphingosine reductase,1666,6.859534568
1221,Tb927.11.1820,-0.002239518,1.182691,"translation initiation factor eIF2B delta subunit, putative",1803,8.792734787
1224,Tb927.2.5130,-0.002239518,1.177039,"hypothetical protein, conserved",2999,8.685015816
1226,Tb927.10.7800,-0.002239518,1.176729,"cop9 signalosome complex subunit, putative",4649,6.690886856
1228,Tb927.11.10160,-0.002239518,1.169311,"60S ribosomal protein L22, putative",4593,8.526946348
1229,Tb927.8.5330,-0.002239518,1.167705,"tyrosyl/methionyl-tRNA synthetase, putative",1108,7.458048319
1230,Tb927.5.1110,-0.002239518,1.166123,"60S ribosomal protein L8, putative",210.5,10.37329828
1232,Tb927.11.6710,-0.002239518,1.164655,predicted tetratricopeptide repeat (TPR) protein,2139,7.076203381
1235,Tb927.10.12870,-0.002239518,1.157999,Basal body protein,3363,7.317394675
1236,Tb927.5.1900,-0.002239518,1.157075,"Outer dynein arm docking complex protein 1, putative",1081,7.206771923
1241,Tb927.5.4320,-0.002239518,1.150765,Pre-mRNA polyadenylation factor FIP1,2633,8.499838235
1242,Tb927.8.7260,-0.002239518,1.148592,"kinetoplast-associated protein, putative",2267,8.870526801
1243,Tb927.11.5030,-0.002239518,1.147538,"hypothetical protein, conserved",2096,8.726009582
1244,Tb927.4.4690,-0.002239518,1.146289,"hypothetical protein, conserved",1067,6.627939075
1245,Tb927.10.7910,-0.002239518,1.144373,"RNA editing complex protein, putative",4958,7.66080858
1246,Tb927.10.12710,-0.002239518,1.142356,"heat shock protein 110, putative",134,9.17655426
1249,Tb927.8.2760,-0.002239518,1.137493,"50S ribosome-binding GTPase, putative",4828,8.05196245
1250,Tb927.10.11390,-0.002239518,1.137398,"60S ribosomal protein L6, putative",240,10.36093405
1251,Tb927.8.1150,-0.002239518,1.135115,kinetoplastid kinetochore protein 9,2750,8.385820687
1253,Tb927.5.1630,-0.002239518,1.131538,"hypothetical protein, conserved",2655,7.497537788
1254,Tb927.11.13500,-0.002239518,1.129277,par1,146,8.618215503
1258,Tb927.7.5320,-0.002239518,1.125891,"hypothetical protein, conserved",4683,8.078021581
1261,Tb927.7.3410,-0.002239518,1.1251,centrin-4,682,7.902834764
1264,Tb927.7.1340,-0.002239518,1.118786,"10 kDa heat shock protein, putative",152.5,6.199810009
1270,Tb927.10.13260,-0.002239518,1.11117,"hypothetical protein, conserved",5811,7.322405381
1271,Tb927.10.560,-0.002239518,1.109582,"40S ribosomal proteins S11, putative",969,10.36204872
1272,Tb927.10.5340,-0.002239518,1.109539,"40S ribosomal protein S18, putative",200.5,10.30405947
1273,Tb927.8.2630,-0.002239518,1.109517,kinesin-C,836,8.038381691
1278,Tb927.11.12980,-0.002239518,1.103182,"hypothetical protein, conserved",5172,7.935985633
1280,Tb927.10.14340,-0.002239518,1.099971,"hypothetical protein, conserved",2393.5,7.377051137
1281,Tb927.10.16100,-0.002239518,1.097858,"FK506-binding protein (FKBP)-type peptidyl-prolyl isomerase, putative",205.5,8.567461619
1282,Tb927.9.14120,-0.002239518,1.097539,"NLI interacting factor-like phosphatase, putative",3288,7.907572579
1284,Tb927.11.8700,-0.002239518,1.092803,"hypothetical protein, conserved",4096,6.126456113
1286,Tb927.11.3380,-0.002239518,1.091796,"Ran-binding protein 1, putative",844,7.678782335
1290,Tb927.7.450,-0.002239518,1.081436,"Golgi complex component 7 (COG7), putative",2797,8.810884143
1292,Tb927.8.1500,-0.002662732,1.073357,"hypothetical protein, conserved",1446,8.484399502
1294,Tb927.8.7830,-0.002774943,1.071831,"hypothetical protein, conserved",7125,6.449339526
1296,Tb927.7.7400,-0.002774943,1.070754,Basal body protein,3310,6.430864843
1298,Tb927.4.3000,-0.002774943,1.069871,"hypothetical protein, conserved",5116.5,7.964311497
1300,Tb927.8.780,-0.002774943,1.068614,"hypothetical protein, conserved",5939,8.093316601
1301,Tb927.3.2690,-0.002774943,1.068299,"AGC/RSK family serine/threonine kinase, putative",6578,7.234289447
1303,Tb927.10.880,-0.002774943,1.067192,thymidine kinase,3135,8.404354703
1305,Tb927.7.1870,-0.002774943,1.064616,"hypothetical protein, conserved",3268.5,7.959389643
1308,Tb927.5.3850,-0.002774943,1.062998,"XRN 5-3 exonuclease N-terminus, putative",5286,7.82201762
1309,Tb927.8.2540,-0.002774943,1.062473,3-ketoacyl-CoA thiolase,282,10.26131046
1312,Tb927.9.8820,-0.002774943,1.059566,"hypothetical protein, conserved",2366,9.77643239
1313,Tb927.5.3900,-0.002774943,1.058258,"Galactose oxidase, central domain/Domain of unknown function (DUF4110), putative",2509,7.889794557
1316,Tb927.11.13810,-0.002774943,1.056206,"ATP- dependent RNA helicase, putative",3801,7.590540911
1317,Tb11.v5.0477,-0.002774943,1.055989,"TPR repeat, putative",6677,6.932377357
1319,Tb927.6.2220,-0.002774943,1.052151,"hypothetical protein, conserved",2937,7.689486448
1320,Tb927.7.4040,-0.002774943,1.051573,"hypothetical protein, conserved",4645,8.088561312
1321,Tb927.11.14020,-0.002774943,1.050849,nuclear RNA binding domain 2,260.5,10.42237642
1322,Tb927.11.9350,-0.002774943,1.049439,"phosphonopyruvate decarboxylase-like protein, putative",5272,8.410085184
1323,Tb927.10.8870,-0.002774943,1.049354,"Myosin-like coiled-coil protein, putative",3538,8.553567503
1324,Tb927.10.1720,-0.002774943,1.048641,"ATP-dependent DEAD/H RNA helicase, putative",3574,7.853941446
1325,Tb927.8.4810,-0.002774943,1.0485,prohibitin 1,1468,9.729893404
1327,Tb927.3.690,-0.002774943,1.046094,"CMGC/RCK protein kinase, putative",2487,8.107345665
1328,Tb927.8.4430,-0.002774943,1.045461,uridine phosphorylase,155,6.481471294
1329,Tb927.9.3990,-0.002774943,1.045141,"ribosomal protein S7, putative",350.5,10.35909522
1334,Tb927.7.6910,-0.002774943,1.040346,"Phosphatidylinositol 4-phosphate 5-kinase, putative",590,7.612264511
1335,Tb927.8.4640,-0.002774943,1.038332,Component of motile flagella 19,1190,7.525692525
1336,Tb927.9.8420,-0.002774943,1.035868,QM-like protein,237.5,10.33607931
1337,Tb927.3.1110,-0.002774943,1.033778,Putative intraflagellar transport protein A1,828.5,9.518355986
1339,Tb927.11.360,-0.002774943,1.032686,"ATP-binding protein, putative",3673,7.05709529
1340,Tb927.11.16720,-0.002774943,1.03041,mitotic cyclin 6,5082,7.056447458
1341,Tb927.4.3790,-0.002774943,1.030148,"ubiquitin carboxyl-terminal hydrolase, putative",1354,7.398026859
1343,Tb927.1.4310,-0.002774943,1.029533,Flagellum attachment zone protein 2,305,8.603955885
1348,Tb927.7.5610,-0.002774943,1.027033,"hypothetical protein, conserved",3218,7.181357592
1350,Tb927.7.7450,-0.002774943,1.026239,"GTP-binding protein, putative",2909,8.43464873
1352,Tb927.6.4330,-0.002774943,1.025904,"hypothetical protein, conserved",3664,6.634023594
1353,Tb927.3.1240,-0.002774943,1.02518,"Serine/threonine-protein phosphatase 2A, putative",2330,8.82672252
1354,Tb927.4.1800,-0.002774943,1.02092,Mitochondrial ribosomal protein L3,180.5,10.4566848
1355,Tb927.11.7214,-0.002774943,1.018881,"hypothetical protein, conserved",6484.5,7.627376099
1356,Tb927.8.6770,-0.002774943,1.017978,"WD domain, G-beta repeat, putative",3274,8.227886705
1357,Tb927.10.6610,-0.002774943,1.017861,"chaperone protein DnaJ, putative",2120,7.967889474
1359,Tb927.9.12880,-0.002774943,1.016146,"STE20-like serine/threonine-protein kinase 2, putative",2470,8.465605891
1362,Tb927.9.12800,-0.002774943,1.012655,"hypothetical protein, conserved",2900,6.796803214
1367,Tb927.9.11490,-0.002774943,1.006024,60S ribosomal protein L29,514.5,9.832860038
1371,Tb927.4.3590,-0.002774943,1.003367,"translation elongation factor 1-beta, putative",138.5,8.268952202
1372,Tb927.9.6070,-0.002774943,1.002753,"40S ribosomal protein S3, putative",230.5,10.39216915
1373,Tb927.5.3700,-0.002774943,1.002692,"hypothetical protein, conserved",4706,7.914966908
1375,Tb927.10.2380,-0.002774943,1.000501,"Tetratricopeptide repeat, putative",1082,8.484029211
1376,Tb927.11.11550,-0.002774943,0.996721,"DNA topoisomerase II alpha, putative",1277,8.710151227
1378,Tb927.6.3040,-0.002774943,0.996429,"small GTP-binding protein Rab28, putative",3267,6.8469059
1379,Tb927.11.10910,-0.002774943,0.99157,"40S ribosomal protein SA, putative",288.5,10.57858191
1380,Tb927.7.3780,-0.002774943,0.989708,Nuclear poly(A) polymerase 2,2202,7.403429396
1381,Tb927.9.9210,-0.002774943,0.989582,"60S ribosomal protein L37, putative",943.5,9.269162565
1382,Tb927.11.1850,-0.002774943,0.989087,"hypothetical protein, conserved",5017.5,8.356408327
1384,Tb927.2.5060,-0.002774943,0.988166,"GTP binding protein, putative",671,7.957736551
1385,Tb927.10.5620,-0.002774943,0.988034,"fructose-bisphosphate aldolase, glycosomal",11.5,11.62161244
1386,Tb927.11.2060,-0.002774943,0.98701,"60S acidic ribosomal protein P0, putative",169.5,10.30856441
1387,Tb927.10.230,-0.002774943,0.986199,"proteasome subunit alpha type-5, putative",691,6.272885445
1389,Tb927.10.11820,-0.002774943,0.984262,kinetoplast ribosomal PPR-repeat containing protein 17,7125,8.339729619
1391,Tb927.3.2890,-0.002774943,0.981333,"radial spoke protein RSP10, putative",1229,6.365731271
1393,Tb927.11.10460,-0.002774943,0.979885,dna replication complex gins protein psf2,5364,6.649383544
1394,Tb927.11.13780,-0.002774943,0.979766,profilin,733,7.944615901
1401,Tb927.8.1990,-0.002774943,0.975918,peroxidoxin,158,9.500291376
1403,Tb927.1.3180,-0.002774943,0.973633,"40S ribosomal protein S11, putative",274,9.313550871
1404,Tb927.10.15740,-0.002774943,0.97246,"hypothetical protein, conserved",2815,8.659364667
1406,Tb927.11.5810,-0.002774943,0.970008,"Surfeit locus protein 6, putative",4156,7.65601191
1408,Tb927.11.11080,-0.002774943,0.965667,Nucleoporin NUP149,1159,9.054919327
1409,Tb927.9.7620,-0.002774943,0.965103,"60S ribosomal protein L11, putative",566.5,9.890001613
1410,Tb927.11.3710,-0.002774943,0.964972,"hypothetical protein, conserved",1150,8.669047106
1412,Tb927.10.11020,-0.002774943,0.962448,"DNA mismatch repair protein MSH2, putative",2108.5,8.345746103
1414,Tb927.9.5300,-0.002774943,0.962067,kinetoplast ribosomal PPR-repeat containing protein 16,5982,7.705513057
1421,Tb927.8.810,-0.002774943,0.958087,"radial spoke protein RSP9, putative",785,6.403549454
1423,Tb927.1.4690,-0.002774943,0.957456,Protein arginine N-methyltransferase 1 catalytic subunit,1765,6.806091749
1424,Tb927.3.5050,-0.002774943,0.956385,60S ribosomal protein L4,194,10.38617781
1425,Tb927.7.7430,-0.002774943,0.955591,"ATP synthase F1, alpha subunit",423.5,9.016531941
1432,Tb927.10.14760,-0.002774943,0.953243,"clathrin light chain, putative",914,8.392292361
1433,Tb927.10.2990,-0.002774943,0.952951,nuclear cap binding complex subunit CBP110,2430.5,8.072176344
1435,Tb927.10.12990,-0.002774943,0.952707,predicted ankyrin repeat family protein,3529,8.03814309
1437,Tb927.9.11600,-0.002774943,0.95035,glycosomal membrane protein,753,9.107074231
1440,Tb927.9.11880,-0.002774943,0.948309,"Mitochondrial SSU ribosomal protein, putative",5298,7.618278264
1441,Tb927.11.8870,-0.002774943,0.948048,"DEAD-box ATP-dependent RNA helicase, mitochondrial",3517,8.128431581
1442,Tb927.10.11640,-0.002774943,0.947084,"Protein prenyltransferase alpha subunit repeat, putative",4017.5,7.247310277
1445,Tb927.6.4180,-0.002774943,0.942793,"FUN14 family, putative",3865,5.948701421
1446,Tb927.9.14370,-0.002774943,0.941263,"60S ribosomal protein L26, putative",877.5,9.671635597
1447,Tb927.8.2230,-0.002774943,0.940587,"Checkpoint protein HUS1, putative",5166,7.598560718
1449,Tb927.11.3360,-0.002774943,0.938043,Component of motile flagella 22,1289,8.543633533
1452,Tb927.6.3480,-0.002774943,0.935847,"RNA-binding protein, putative",4849.5,6.670533432
1454,Tb927.10.3780,-0.002774943,0.934799,"hypothetical protein, conserved",3080,8.47228827
1455,Tb927.6.4520,-0.002774943,0.934659,"Tumour suppressor, Mitostatin, putative",1162,8.378997141
1456,Tb927.11.3550,-0.002774943,0.934302,"XPA-interacting protein, putative",4216,8.104213884
1457,Tb927.2.4710,-0.002774943,0.933957,"RNA-binding protein, putative",532,8.867178648
1461,Tb927.10.9650,-0.002774943,0.930321,Nucleoporin NUP152,1356.5,9.060206621
1463,Tb927.9.7150,-0.002774943,0.927906,"RNA pseudouridylate synthase protein, putative",6964,7.271725469
1466,Tb927.11.11920,-0.002774943,0.925528,"molybdenum cofactor biosynthesis protein, putative",4489,7.622897576
1467,Tb927.6.5080,-0.002774943,0.924427,"Protein of unknown function (DUF3808), putative",1801,9.255537826
1469,Tb927.6.1180,-0.002774943,0.923013,"hypothetical protein, conserved",5209,9.047041103
1471,Tb927.11.1620,-0.002774943,0.92226,"hypothetical protein, conserved",2835,7.5076805
1474,Tb927.10.14390,-0.002774943,0.917876,"Histone chaperone Rttp106-like, putative",1214,7.599162287
1477,Tb927.11.1420,-0.002774943,0.916173,"hypothetical protein, conserved",1235,8.798988835
1478,Tb927.5.3270,-0.002774943,0.914827,"Autophagy protein Apg6, putative",4340,7.649617156
1479,Tb927.6.2250,-0.002774943,0.914827,"rac serine-threonine kinase, putative",1373,8.057590039
1480,Tb927.6.1190,-0.002774943,0.91311,"Plus-3 domain/Zinc finger, C3HC4 type (RING finger), putative",5895,6.954941643
1481,Tb927.1.5030,-0.002774943,0.909902,"leucine-rich repeat protein (LRRP), putative",2318,7.449756012
1482,Tb927.6.3890,-0.002774943,0.909308,"replication factor C, subunit 2, putative",1956,9.027308827
1483,Tb927.3.970,-0.002774943,0.909044,"Mitochondrial SSU ribosomal protein, putative",4000,7.740844095
1484,Tb927.6.3590,-0.002774943,0.908938,"hypothetical protein, conserved",4191.5,7.398200507
1488,Tb927.5.1320,-0.002774943,0.905766,Kinetochore interacting protein 2,3182,8.586857248
1489,Tb927.10.11130,-0.002774943,0.90508,"SET domain containing protein, putative",4413,7.655080781
1490,Tb927.11.3510,-0.002774943,0.902807,"hypothetical protein, conserved",1438,9.033343323
1491,Tb927.10.14780,-0.002774943,0.902557,Canertinib-binding protein kinase 1,874,8.503000338
1494,Tb927.9.8180,-0.002774943,0.901363,"hypothetical protein, conserved",2123,8.678281592
1498,Tb927.4.4910,-0.002774943,0.897929,"3,2-trans-enoyl-CoA isomerase, mitochondrial precursor, putative",1588,9.121001435
1499,Tb927.10.370,-0.002774943,0.89727,"calcineurin B subunit, putative",4717.5,6.026941628
1500,Tb927.8.7390,-0.002774943,0.896708,protein phosphatase 1,2185,7.682857782
1501,Tb927.11.1540,-0.002774943,0.8966,isovaleryl-CoA dehydrogenase,3390,8.16208624
1502,Tb927.3.760,-0.002774943,0.895989,"hypothetical protein, conserved",3212,7.025838164
1503,Tb927.9.3130,-0.002774943,0.895727,"hypothetical protein, conserved",3297,6.610947469
1504,Tb927.10.12330,-0.002774943,0.89571,"zinc finger protein family member, putative",1536,9.512297414
1505,Tb927.10.6840,-0.002774943,0.895435,"hypothetical protein, conserved",2070,6.239899817
1509,Tb927.3.3520,-0.002774943,0.894024,Present in the outer mitochondrial membrane proteome 25,3787,7.567167577
1510,Tb927.5.1580,-0.002774943,0.892098,zinc finger CCCH domain containing protein 13,2316,8.774823418
1512,Tb927.10.3200,-0.002774943,0.889927,"U2 splicing auxiliary factor, putative",1185,8.818727221
1513,Tb927.6.2090,-0.002774943,0.889869,"pdz domain containing protein, putative",980,8.755180954
1516,Tb927.9.4050,-0.002774943,0.885657,"Ring finger domain/Zn-finger in ubiquitin-hydrolases and other protein, putative",4937,6.544402942
1517,Tb927.3.1710,-0.002774943,0.884734,mitochondrial ribosomal protein l24,4717.5,6.635895729
1521,Tb927.11.720,-0.002774943,0.883301,"hypothetical protein, conserved",534,7.789030445
1524,Tb927.9.15400,-0.002774943,0.88152,"ankyrin-repeat protein, putative",4029,7.977014441
1528,Tb927.5.3090,-0.002774943,0.874305,"Mitochondrial ATP synthase subunit, putative",3719,7.813567646
1529,Tb927.11.16790,-0.002774943,0.874264,mitogen-activated protein kinase,4390,7.381151195
1531,Tb927.9.5410,-0.002774943,0.872513,"hypothetical protein, conserved",1631,6.235452691
1535,Tb927.11.10760,-0.002774943,0.866033,kinesin-D,768,8.052693942
1537,Tb927.9.5890,-0.002774943,0.86549,"solanesyl-diphosphate synthase, putative",1826,8.770623763
1538,Tb927.4.4160,-0.002774943,0.864952,mitochondrial RNA binding protein,3289,8.197280558
1539,Tb927.11.6590,-0.002774943,0.864723,"metallo-peptidase, Clan MF, Family M17",272.5,7.56006213
1540,Tb927.11.2380,-0.002774943,0.863451,"phosphoglycerate kinase, putative",2293,8.179293206
1542,Tb927.10.5920,-0.002774943,0.862993,"hypothetical protein, conserved",3898,8.180785135
1544,Tb927.8.3100,-0.002774943,0.860232,"coronin, putative",781,8.614074229
1547,Tb927.10.3330,-0.002774943,0.859562,"DDRGK domain containing protein, putative",3213,7.700210314
1548,Tb927.9.8950,-0.002774943,0.859379,"metallo- peptidase, Clan M- Family M48",646,8.488113382
1550,Tb927.6.4380,-0.002774943,0.857506,"Protein of unknown function (DUF544), putative",2356,8.548266545
1551,Tb927.9.3360,-0.002774943,0.856998,"N-acetyltransferase, putative",5672,6.887960325
1552,Tb927.7.3540,-0.002774943,0.852548,"hypothetical protein, conserved",2235,7.315319465
1553,Tb927.10.14530,-0.002774943,0.852167,19S proteasome non-atpase subunit 8,1415,8.103187749
1554,Tb927.11.6200,-0.002774943,0.852143,"60S ribosomal protein L28, putative",481.5,10.11210205
1557,Tb927.11.10520,-0.002774943,0.846334,kinetoplastid kinetochore protein 2,3510,7.413081724
1558,Tb927.9.9740,-0.002774943,0.845852,"AMP deaminase, putative",2976,8.051576958
1562,Tb927.11.9880,-0.002774943,0.843686,"Protein of unknown function (DUF2009), putative",2099,7.90272068
1567,Tb927.11.3600,-0.002774943,0.8406,"40S ribosomal protein S4, putative",160,10.81348091
1568,Tb927.11.15130,-0.002774943,0.840256,"DnaJ homolog, putative",902,6.129174103
1569,Tb927.11.2030,-0.002774943,0.838827,"hypothetical protein, conserved",2926,9.484840591
1572,Tb927.2.5660,-0.002774943,0.837208,"adenylate kinase, putative",680,6.125090713
1573,Tb927.8.7380,-0.002774943,0.836702,"dihydrolipoamide dehydrogenase, point mutation",4107,7.916806505
1575,Tb927.2.3620,-0.002774943,0.834962,"GTP-binding elongation factor Tu family, putative",2971,8.347681213
1576,Tb927.10.5480,-0.002774943,0.834209,"60S ribosomal protein L24, putative",825.5,9.879520214
1577,Tb927.3.2270,-0.002774943,0.834145,"hypothetical protein, conserved",4605,7.427794355
1582,Tb927.10.5380,-0.002774943,0.831378,intraflagellar transport protein 122,783.5,9.583062681
1584,Tb927.4.3350,-0.002774943,0.830801,"Carnosine N-methyltransferase, putative",2391,7.885185883
1588,Tb927.9.11410,-0.002774943,0.828839,"60S ribosomal protein L23, putative",311.5,10.11909085
1590,Tb927.11.15350,-0.002774943,0.824805,"RNA-binding protein, putative",3088,8.835455926
1592,Tb927.6.1870,-0.002774943,0.823111,Eukaryotic translation initiation factor 4E-4,1932,8.286141975
1593,Tb927.6.740,-0.002774943,0.822151,"ATP-dependent DEAH-box RNA helicase, putative",2360,8.637649809
1594,Tb927.1.3050,-0.002774943,0.819995,"tRNA (Uracil-5-)-methyltransferase, putative",3519,6.740378482
1595,Tb927.11.8190,-0.002774943,0.81895,DNA repair protein RAD51,3166,8.269232664
1596,Tb927.10.12980,-0.002774943,0.818557,"Multisite-specific tRNA:(cytosine-C(5))-methyltransferase, putative",3888,8.563647177
1597,Tb927.11.14230,-0.002774943,0.818431,"Vps23 core domain containing protein, putative",3001,9.39038748
1600,Tb927.11.8210,-0.002774943,0.817536,RAD50 DNA repair-like protein,1772,8.009280884
1601,Tb927.11.9760,-0.002774943,0.815537,"hypothetical protein, conserved",3031,8.235174807
1603,Tb927.10.14490,-0.002774943,0.812068,"hypothetical protein, conserved",493.5,7.589536323
1604,Tb927.4.3890,-0.002774943,0.811231,"ATP-dependent RNA helicase, putative",1255,9.354818871
1605,Tb927.11.10730,-0.002774943,0.808947,"SWI/SNF-related helicase, putative",4393,8.007534418
1606,Tb927.9.9940,-0.002774943,0.806953,parkin coregulated gene protein,1364,7.596674052
1609,Tb927.10.1390,-0.002774943,0.804148,Hypoxanthine-guanine-xanthine phosphoribosyltransferase,873,5.971094855
1610,Tb927.7.4770,-0.002774943,0.802787,"cyclophilin-type peptidyl-prolyl cis-trans isomerase, putative",464.5,5.8565839
1612,Tb927.3.5150,-0.002774943,0.801613,"exonuclease, putative",4515,7.776105254
1613,Tb927.5.3250,-0.002774943,0.801348,"hypothetical protein, conserved",1613,9.240848658
1618,Tb927.10.5010,-0.002774943,0.797962,"Elongation factor G1, mitochondrial, putative",1977,8.620926854
1619,Tb927.11.11140,-0.002774943,0.797485,hypothetical protein,1839,8.2987876
1620,Tb927.7.2070,-0.002774943,0.797193,"heat shock protein DNAJ, putative",2127,8.75104033
1621,Tb927.9.14000,-0.002774943,0.796767,"60S ribosomal protein L12, putative",337.5,9.658755264
1623,Tb927.2.1800,-0.002774943,0.794766,"DNA polymerase delta catalytic subunit, putative",2861,8.743360793
1628,Tb927.1.880,-0.002774943,0.790603,"Midasin, putative",2699,8.504416487
1629,Tb927.5.3640,-0.002774943,0.789434,"Mitochondrial SSU ribosomal protein, putative",5390,6.338117691
1630,Tb927.10.7500,-0.002774943,0.788405,fibrillarin,922,9.168173262
1632,Tb927.3.3160,-0.002774943,0.787147,Nuclear poly(A) polymerase 1,5020,7.921660469
1634,Tb927.3.3610,-0.002774943,0.785669,"peroxisomal targeting signal 2 receptor, putative",1132,9.281692267
1642,Tb927.4.3970,-0.002774943,0.781943,"hypothetical protein, conserved",3228,7.91591667
1644,Tb927.11.8290,-0.002774943,0.781808,"DIS3-like exonuclease, putative",3617.5,7.40881638
1645,Tb927.11.6350,-0.002774943,0.781651,"AAA ATPase, putative",2982,7.034748743
1649,Tb927.4.1730,-0.002774943,0.776113,Nucleus and spindle associated protein 4,6481,8.527449444
1651,Tb927.5.960,-0.002774943,0.774509,atpase family aaa domain-containing protein 1,2067,8.760633548
1653,Tb927.11.450,-0.002774943,0.771659,"hypothetical protein, conserved",3331,8.787269144
1654,Tb927.10.4310,-0.002774943,0.770223,"prohibitin 2, putative",1312.5,9.818516206
1656,Tb927.2.5610,-0.002774943,0.769778,Present in the outer mitochondrial membrane proteome 22B,6551.5,7.860002422
1659,Tb927.3.780,-0.002774943,0.768143,proteasome alpha 7 subunit,996,5.949053176
1660,Tb927.4.960,-0.002774943,0.767972,"WD domain, G-beta repeat, putative",4319,8.126488571
1661,Tb927.11.9650,-0.002774943,0.766324,"hypothetical protein, conserved",5600,7.844502027
1662,Tb927.6.4770,-0.002774943,0.76575,"protein mkt1, putative",559,9.592620821
1664,Tb927.11.7218,-0.002774943,0.764059,mitochondrial edited mRNA stability factor 1 subunit,6329.5,8.084969288
1665,Tb927.10.3280,-0.002774943,0.763898,"60S ribosomal proteins L38, putative",1444,9.46353466
1666,Tb927.3.5440,-0.002774943,0.763807,"SNF2 DNA repair protein, putative",4730,7.000607587
1669,Tb927.3.870,-0.002774943,0.759951,"Histone RNA hairpin-binding protein RNA-binding domain containing protein, putative",4781,7.691249517
1670,Tb927.10.2630,-0.002774943,0.759305,"Regulator of Vps4 activity in the MVB pathway, putative",3426,6.159507037
1672,Tb927.5.2150,-0.002774943,0.758924,"hypothetical protein, conserved",4746,7.918962963
1677,Tb927.7.1240,-0.002774943,0.755476,Sphingosine kinase,2265,8.980952779
1678,Tb927.5.1930,-0.002774943,0.755379,"signal peptidase subunit, putative",1181,7.775981606
1679,Tb927.10.9800,-0.002774943,0.754548,60S ribosomal protein L22,1934,9.246055197
1682,Tb927.11.5410,-0.002774943,0.751422,SUMO-interacting motif-containing protein,6866,7.227886705
1683,Tb927.7.3440,-0.002774943,0.7514,I/6 autoantigen,430,7.468110915
1686,Tb927.4.1860,-0.002774943,0.750245,"ribosomal protein S19, putative",413,9.964735631
1687,Tb927.11.7850,-0.002774943,0.750201,"hypothetical protein, conserved",4285,7.738074653
1688,Tb927.11.5680,-0.002774943,0.749303,"dynein light chain 1, axonemal",1303,5.793685639
1691,Tb927.3.620,-0.002774943,0.748196,"ATP-dependent DEAD/H RNA helicase, putative",5035,7.47633882
1692,Tb927.9.9690,-0.002774943,0.748162,"hypothetical protein, conserved",6430,5.925126368
1693,Tb927.10.730,-0.002774943,0.746863,"ATP synthase, putative",1092.5,9.435876205
1696,Tb927.4.1930,-0.002774943,0.744794,eukaryotic translation initiation factor 3 subunit g,973,8.974617605
1700,Tb927.11.15750,-0.002774943,0.741203,"AMP deaminase, putative",1964,8.644271142
1703,Tb927.6.1500,-0.002774943,0.74019,alkyl-dihydroxyacetone phosphate synthase,1530,9.07272769
